date,retailer,drug,strength,price_nzd,available,source_url,note
2026-09-03T05:36:11Z,PillDrop,Wegovy,0.25mg,365.00,,https://pilldrop.co.nz/services/wegovy/,
2026-09-03T05:36:11Z,PillDrop,Wegovy,0.5mg,385.00,,https://pilldrop.co.nz/services/wegovy/,
2026-09-03T05:36:11Z,PillDrop,Wegovy,1.0mg,405.00,,https://pilldrop.co.nz/services/wegovy/,
2026-09-03T05:36:11Z,PillDrop,Wegovy,1.7mg,450.00,,https://pilldrop.co.nz/services/wegovy/,
2026-09-03T05:36:11Z,PillDrop,Wegovy,2.4mg,470.00,,https://pilldrop.co.nz/services/wegovy/,
2026-09-03T05:36:13Z,PillDrop,Mounjaro,2.5mg,430.00,,https://pilldrop.co.nz/services/mounjaro/,
2026-09-03T05:36:13Z,PillDrop,Mounjaro,5mg,500.00,,https://pilldrop.co.nz/services/mounjaro/,
2026-09-03T05:36:13Z,PillDrop,Mounjaro,7.5mg,690.00,,https://pilldrop.co.nz/services/mounjaro/,
2026-09-03T05:36:13Z,PillDrop,Mounjaro,10mg,690.00,,https://pilldrop.co.nz/services/mounjaro/,
2026-09-03T05:36:13Z,PillDrop,Mounjaro,12.5mg,875.00,,https://pilldrop.co.nz/services/mounjaro/,
2026-09-03T05:36:13Z,PillDrop,Mounjaro,15mg,875.00,,https://pilldrop.co.nz/services/mounjaro/,
2026-09-03T05:36:17Z,Zoom Pharmacy,Saxenda,Liraglutide) 3 x 15ml Injection (9 x 5ml injections,1433.49,true,https://zoompharmacy.co.nz/shop/saxenda-liraglutide-3x15ml-injection/,
2026-09-03T05:36:17Z,Zoom Pharmacy,Saxenda,Liraglutide) 2 x 15ml Injection (6 x 5ml injections,956.49,true,https://zoompharmacy.co.nz/shop/saxenda-liraglutide-2x15ml-injection/,
2026-09-03T05:36:17Z,Zoom Pharmacy,Saxenda,Liraglutide) 15ml Injection (3 x 5ml injections,479.49,true,https://zoompharmacy.co.nz/shop/saxenda-liraglutide-15ml-injection/,
2026-09-03T05:36:20Z,Zoom Pharmacy,Contrave,"Naltrexone + Bupropion Hydrochloride) 8mg/90mg Tablets, 112 pack",209.49,true,https://zoompharmacy.co.nz/shop/contrave-naltrexone-bupropion-hydrochloride-8mg-90mg-tablets-112-pack/,
2026-09-03T05:36:23Z,Zoom Pharmacy,"Duromine 30mg Capsules, 30 pack",,96.99,true,https://zoompharmacy.co.nz/shop/duromine-30mg-capsules-30-pack/,
2026-09-03T05:36:23Z,Zoom Pharmacy,"Duromine 15mg Capsules, 30 pack",,79.99,true,https://zoompharmacy.co.nz/shop/duromine-15mg-capsules-30-pack/,
2026-09-03T12:01:31Z,Chemist Warehouse,Mounjaro,2.5mg,429.99,,https://www.chemistwarehouse.co.nz/buy/165180/mounjaro-2-5mg-kwikpen,non-subsidised anchor
2026-09-03T12:01:33Z,Chemist Warehouse,Mounjaro,5mg,499.99,,https://www.chemistwarehouse.co.nz/buy/165181/mounjaro-5mg-kwikpen,non-subsidised anchor
2026-09-03T12:01:35Z,Chemist Warehouse,Mounjaro,7.5mg,689.99,,https://www.chemistwarehouse.co.nz/buy/165182/mounjaro-7-5mg-kwikpen,non-subsidised anchor
2026-09-03T12:01:37Z,Chemist Warehouse,Mounjaro,10mg,689.99,,https://www.chemistwarehouse.co.nz/buy/165183/mounjaro-10mg-kwikpen,non-subsidised anchor
2026-09-03T12:01:39Z,Chemist Warehouse,Mounjaro,12.5mg,874.99,,https://www.chemistwarehouse.co.nz/buy/165184/mounjaro-12-5mg-kwikpen,non-subsidised anchor
2026-09-03T12:01:41Z,Chemist Warehouse,Mounjaro,15mg,874.99,,https://www.chemistwarehouse.co.nz/buy/165217/mounjaro-15mg-kwikpen,non-subsidised anchor
2026-09-03T12:01:43Z,Chemist Warehouse,Wegovy,0.25mg,364.99,,https://www.chemistwarehouse.co.nz/buy/156879/wegovy-0-25mg-flexpen,non-subsidised anchor
